,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
1354,surulere,alpha courtIponri Surulere Lagos,3 beds 4 baths 3 Toilets,3,4,3,4bedroom duplex for rent,3500000,,6CCGV,"Updated 20 Apr 2021, Added 22 Mar 2019",Newly Built,"3 Bedrooms
New
D",4 bedroom duplex for rent @alpha court off iponri
1356,surulere,AkinhanmiWestern Avenue Surulere Lagos,1 beds 1 baths 1 Toilets,1,1,1,New built mini flat,400000,,0CBQJ,"Updated 20 Apr 2021, Added 08 Mar 2019",Furnished,,
1357,surulere,Okolanwon Ajayi Street Masha Surulere Lagos,3 beds 3 baths Toilets,3,3,0,Decent and spacious 3bedroom apartment upstairs in a serene and secured neighborhood,1000000,,4EKNS,"Updated 20 Apr 2021, Added 11 Mar 2021",,3 Bedroom,"A lovely 3bed apartment upstairs with all room ensuite, balcony, borehole water, prepaid meter, parking space, gated. 3 people in a compound. #1m a yr & half
For yoruba working class"
1359,surulere,Off western avenue Surulere Lagos,2 beds 2 baths 3 Toilets,2,2,3,Very Tasteful 2 Bedroom Apartment For Rent Off Western Avenue Surulere,1200000,,3ELPQ,"Updated 20 Apr 2021, Added 22 Mar 2021",,,
1360,surulere,Off brown rdAguda Surulere Lagos,2 beds 2 baths 2 Toilets,2,2,2,Lovely and spacious 2/3bedroom apartment,800000,,3EKUN,"Updated 20 Apr 2021, Added 13 Mar 2021",,2 Bedroom,"A Superb and Spacious decent 2 units of vacant 3bedroom flat ground floor front and back with 2 numbers of vacant 2bedroom flat upstairs with kitchen cabinet, wardrobes,prepaid meter, car park. Etc
Price of 2bedroom flat: 800
Price of 3bedroom flat: 1.2m."
1362,surulere,Surulere Lagos,3 beds 1 baths 1 Toilets,3,1,1,Renovated 3bedrooms flat at jubril martins street surulere lagos.,800000,,8DXJV,"Updated 20 Apr 2021, Added 04 Oct 2020",Furnished,"3 Bedrooms
Furnished","TO LET:

3 Bedroom flat upstairs 1t/1bth. with prepaid meter, parking space, balcony, borehole water etc.

Location: Jubril Martins Street Surulere.

Price: 800k a year rent.
(Agt kunle lere)."
1363,surulere,Of lawasonLawanson Surulere Lagos,1 beds 1 baths 2 Toilets,1,1,2,A Mini flat,450000,,8CDV,"Updated 20 Apr 2021, Added 21 Apr 2019",,"1 Bedrooms
D","A mini flat for rent at Off Lawanson,Oseni street.
It is a new building well built and has a parking space.
It consists of a Room,parlour and kitchen.
Cmore detailsontact"
1365,surulere,Aiyetoro Aguda Surulere Lagos,2 beds 0 baths 0 Toilets,2,0,0,Units Of New And Decent 2 Bedroom Apartment And Mini Flat,850000,,8EKMS,"Updated 20 Apr 2021, Added 10 Mar 2021",,2 Bedroom,"TOLET


A NEWLY BUILT DECENT 2 BEDROOM FLAT AND MINIFLAT
WITH 2TOILET 2BATH,
PARKING SPACE,
PREPAID METER,
P.O.P FINISHING,
PAINTED,
WARDROBES,
KITCHEN CABINET.

LOCATION: AIYETORO OFF ADEBOLA OJOMU AGUDA SURULERE.

PRICE OF MINI FLAT: 650
PRICE OF 2BED: 850.

NB: WORK IS STILL ONGOING AND WILL BE READY ON OR BEFORE 1ST WEEK OF APRIL.
#Tos"
1384,surulere,Off bode thomasBode Thomas Surulere Lagos,3 beds 4 baths 3 Toilets,3,4,3,A Block of 4 flat 3 bedroom new renovated house,1500000,,H5242,"Updated 20 Apr 2021, Added 20 Aug 2017",,3 Bedroom,3 bedroom Flat / Apartment for rent Off bode thomas Bode Thomas Surulere Lagos
1386,surulere,oniRandle Avenue Surulere Lagos,3 beds 3 baths 3 Toilets,3,3,3,3 Bedroom flat,1000000,,9CBBG,"Updated 20 Apr 2021, Added 22 Feb 2019",,"Security
Water Treatment
Supermarket Nearby
Parking Space
Restaurants Nearby
Security doors
All Room Ensuit
3 Bedrooms
D",3 bedrooms flat at ONI off randle surulere.
1388,surulere,Ik dairo StLawanson Surulere Lagos,beds baths Toilets,0,0,0,Clean and gated roomself,270000,,7ENGR,"Updated 20 Apr 2021, Added 10 Apr 2021",Newly Built,New,"Clean roomself painted with satin, borehole,tiles gated with security light prepaid metre in process off Lawanson 270k per annum a yr and half acceptable.Single corporate client pls"
1389,surulere,Off odogbolu Aguda Surulere Lagos,3 beds baths Toilets,3,0,0,Standard 3 Bedroom Apartment For Rent At Aguda Surulere,1000000,,9ENAW,"Updated 20 Apr 2021, Added 07 Apr 2021",,3 Bedroom,"TO LET

A Superb and decent 2 years old 3 bedroom Apartment
upstairs first floor
all rooms en-suite,
Guest toilet ,
parking space ,
fitted wardrobes,
clean bore holewater,
car park,
Screeded walls,
p.o.p finishing,
water heaters
and prepaid meter.

Price: 1Million not negotiable.

Location : off odogbolu Aguda Surulere.
#Tos"
1390,surulere, Aguda Surulere Lagos,2 beds 3 baths 2 Toilets,2,3,2,2 bedrooms flat,900000,,5CCZA,"Updated 20 Apr 2021, Added 05 Apr 2019",Newly Built,,
1391,surulere,OyekanOgunlana Surulere Lagos,4 beds 4 baths 5 Toilets,4,4,5,"Executive 4bedroom duplex in a serene and secured neighborhood, very accessible to anywhere",3000000,,3EKNS,"Updated 20 Apr 2021, Added 11 Mar 2021",Newly Built,,
1392,surulere,Off MarshalOgunlana Surulere Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 bedrooms flat,1500000,,1CGYX,"Updated 20 Apr 2021, Added 08 Jun 2019",Newly Built,"3 Bedrooms
New
D","Clean renovated 3bdrm flat all rooms ensuite all round tiles,fitted pop finishing,fitted wardrobes in each room,fitted kitchen cabinet,water heater,prepaid meter,running borehole water,good car park,security post and easy road Network to any part of lagos. For further inquiries Clean renovated 3bdrm flat all rooms ensuite all contact this number"
1394,surulere,Olufemi Ogunlana Surulere Lagos,3 beds 2 baths 3 Toilets,3,2,3,Newly renovated 3bedroom flat,1300000,,8DCHX,"Updated 20 Apr 2021, Added 16 Mar 2020",Newly Built,"Security
Water Treatment
Parking Space
Security doors
All Room Ensuit
Big Compound
3 Bedrooms
New
Renovated","Newly renovated 3bedroom flat all rooms ensuit

Features :
Prepaid Meter
4 water heater

1.3M per annum"
1395,surulere,"akerele,off randle avenueRandle Avenue Surulere Lagos",1 beds 1 baths 2 Toilets,1,1,2,Executive Mini Flat,650000,,2EEJK,"Updated 20 Apr 2021, Added 12 Jan 2021",Newly Built,"1 Bedrooms
New","Executive Mini Flat with 2 toilets/1 bathroom for letting at Akerele Road,off Randle Avenue,Surulere.The rent is 650,000

naira per anum,minimum rent of 1 year.The property is suitable for 100% Residential Purpose."
1397,surulere,NnobiKilo Marsha Surulere Lagos,1 beds 1 baths 1 Toilets,1,1,1,Mini flat for rent,600000,,5CCME,"Updated 20 Apr 2021, Added 27 Mar 2019",Newly Built,,
1398,surulere,brown roadAguda Surulere Lagos,2 beds 1 baths 2 Toilets,2,1,2,2 bedroom flat for rent,750000,,4CBXU,"Updated 20 Apr 2021, Added 14 Mar 2019",,,
1399,surulere,Off lawansonLawanson Surulere Lagos,2 beds 3 baths 3 Toilets,2,3,3,2bedrom for rent,750000,,9CBKM,"Updated 20 Apr 2021, Added 03 Mar 2019",,"2 Bedrooms
D","2bedrooms for rent ,All room ensuite off lawanson"
1401,surulere,"off western avenue,Alaka Estate Surulere Lagos",1 beds 1 baths 1 Toilets,1,1,1,Brand New Room Self Contain,600000,,4BZEX,"Updated 20 Apr 2021, Added 22 Jan 2019",Serviced Newly Built,,
