,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
9335,yaba,"University road Akoka, YabaAbule Oja Yaba Lagos",beds baths Toilets,0,0,0,"Lease: A bungalow suitable for any kind of businesses, (supermarket, fashion house, corporate office, Microfinance Bank etc,) directly on university road unilag, Yaba Lagos",4000000.0,,6CJE,"Updated 15 Jan 2020, Added 25 Jun 2019",,"Street Lights
Parking Space
Security doors
Drainage System","A bungalow suitable for any kind of businesses, (supermarket, fashion house, corporate office, Microfinance Bank, Show room etc,) directly on university road unilag, Yaba Lagos for long lease 5yrs minimum, with ample parking space at the front , 4m per annum , 3yre lease might be considered, slightly negotiable to 3.5m per annum

Note: only serious client, no time wasters please"
9338,yaba,Yaba GRAYaba Lagos,3 beds baths Toilets,3,0,0,"A Brand Newly Built Serviced Modern Ensuites 3bedroom Flat @ Yaba Gra, Off Herbert Macaulay Way, Yaba, Lagos",2500000.0,,0CPYQ,"Updated 15 Jan 2020, Added 16 Sep 2019",Newly Built,,
9339,yaba,Alagomeji Yaba Lagos,3 beds 3 baths 4 Toilets,3,3,4,3bedroom flat at adebiyi st Alagomeji Yaba 4t 3b #1.2m,1200000.0,,2CWMG,"Updated 15 Jan 2020, Added 01 Jan 2020",,"Security
Security doors
Drainage System
All Room Ensuit
Big Compound
3 Bedroom",3bedroom flat at adebiyi st Alagomeji Yaba 4t 3b #1.2m
9340,yaba,Ebute Metta Yaba Lagos,beds 1 baths 1 Toilets,0,1,1,Newly built roomself in ebute meta 250kx1yr & half rent,250000.0,,2CSQR,"Updated 15 Jan 2020, Added 22 Oct 2019",Newly Built,,
9341,yaba,Akoka Yaba Lagos,2 beds 2 baths 3 Toilets,2,2,3,"Newly renovated 2bedroom flat upstairs back flat with 2t/2b, parking space",700000.0,,7CXCW,"Updated 15 Jan 2020, Added 14 Jan 2020",Newly Built,"Security
Parking Space
Security doors
Drainage System
2 Bedrooms
New
Renovated","Newly renovated 2bedroom flat upstairs back flat with 2t/2b, parking space, about 98% completion 700k per annum
Location: Akoka"
9342,yaba,Onike Yaba Lagos,3 beds 2 baths 3 Toilets,3,2,3,"Clean & Spacious 3bedroom flat, 3t/2b (upflat) at Olu Osifeso st, by Unilag 2nd gate, Onike, Yaba.",1000000.0,,4CPYR,"Updated 15 Jan 2020, Added 16 Sep 2019",,3 Bedroom,"Clean & Spacious 3bedroom flat, 3t/2b (upflat) at Olu Osifeso st, by Unilag 2nd gate, Onike, Yaba.
Rent: 1m pa.."
9343,yaba,Fola Agoro Yaba Lagos,2 beds 2 baths 3 Toilets,2,2,3,"A Newly renovated lovely 2bedroom in block of 4flat, all room ensuite plus guest toilet with ample packing garage @ off fola Agoro road, 1m per annum",1000000.0,,1CVQR,"Updated 15 Jan 2020, Added 11 Dec 2019",Newly Built,"Security
Parking Space
Security doors
Drainage System
All Room Ensuit
Big Compound
2 Bedrooms
New
Renovated","A Newly renovated lovely 2bedroom in block of 4flat, all room ensuite plus guest toilet with ample packing garage @ off fola Agoro road, 1m per annum"
9345,yaba,Sabo Yaba Lagos,3 beds baths Toilets,3,0,0,"Portable 3Bedroom downstairs at Karimu Ikotun , Oyadiran Est. Yaba",1400000.0,,5CWKW,"Updated 15 Jan 2020, Added 30 Dec 2019",,3 Bedroom,"Portable 3Bedroom downstairs at Karimu Ikotun , Oyadiran Est. Yaba #1.4m net P/a for one year. (Yoruba, Married, working Class Christian)"
9348,yaba,Sabo Yaba Lagos,3 beds 3 baths 4 Toilets,3,3,4,lovely and standard executive 3 bedroom flat,2700000.0,,2CVCL,"Updated 15 Jan 2020, Added 01 Dec 2019",,3 Bedroom,"To Let

A very lovely and standard executive 3 bedroom flat all rooms en-suite with guest toilet, fitted air conditions, intercoms, washing machine, separate inverter, separate prepaid metre, standard security guards in a well organized compound with enough car park at the back of Ozone centre at Sabo-Yaba. #2.7m per annual for one year rent"
9350,yaba,EastEbute Metta Yaba Lagos,1 beds 1 baths 1 Toilets,1,1,1,"Mini flat @ Ebute metta east, 400k, 2 years rent",400000.0,,5CWYC,"Updated 15 Jan 2020, Added 10 Jan 2020",Newly Built,"1 Bedrooms
New","Mini flat @ Ebute metta east, 400k, 2 years rent, a/c 100k, 100k, caution fee 50k.

Feature:
Parking space
Balcony
Spacious sitting/room."
9368,yaba,Off Isaac JohnJibowu Yaba Lagos,4 beds 0 baths 0 Toilets,4,0,0,Decent 4 bedroom Office space self compound + BQ,3000000.0,,6CTFK,"Updated 15 Jan 2020, Added 31 Oct 2019",,,
9369,yaba,Adekunle Yaba Lagos,3 beds baths Toilets,3,0,0,"TO LET Spacious 3bed Room in a Mini Estate @ Abeokuta Street, Adekunle, Yaba",1300000.0,,8CNJA,"Updated 15 Jan 2020, Added 26 Aug 2019",,3 Bedroom,"TO LET
Spacious 3bed Room in a Mini Estate @ Abeokuta Street, Adekunle, Yaba

Rent N1, 300, 000

Agency N130, 000

Legal N130, 000

Refundable Caution: 100k"
9372,yaba,Finbarrs roadAkoka Yaba Lagos,beds baths Toilets,0,0,0,"Very spacious open office space, suitable for supermarket, or any other kind of business that requires a big space directly on a major road",2000000.0,,9CUKH,"Updated 15 Jan 2020, Added 19 Nov 2019",,,
9373,yaba,Akoka Yaba Lagos,4 beds 2 baths 2 Toilets,4,2,2,4br flat 2toi & bath Suitable for Office other Purpose @Adetayo Osho str Akoka,1000000.0,,8CQJR,"Updated 15 Jan 2020, Added 20 Sep 2019",,4 Bedroom,"4br flat 2toi & bath Suitable for Office other Purpose @Adetayo Osho str Akoka.
#800x2Yrs Or #1m x1&hlf Yrs."
9374,yaba,Off st finbarrs roadAkoka Yaba Lagos,3 beds 3 baths 3 Toilets,3,3,3,Executive 3bedroom flat,1200000.0,,8CREQ,"Updated 15 Jan 2020, Added 01 Oct 2019",,"Security
Supermarket Nearby
Street Lights
Parking Space
24 Hours Security
Restaurants Nearby
Security doors
All Room Ensuit
Drainage System
Big Compound
3 Bedroom","Executive 3bedroom flat with 3t/3b, water heater, wardrobe, all round tiles, balcony, kitchen cabinets, & shelf, back exit door from the kitchen. upstairs 1.2m per annum @Akoka, Yaba Note: the while g/floor is used for office space But not generally accessible to public , its safe & secured with ample parking space, and standby security guard. Rent 1.2m per annum Breakdown Rent 1.2m Legal 120k Agency 240k Caution fee refundable 100k"
9376,yaba,Akoka Yaba Lagos,3 beds 3 baths 4 Toilets,3,3,4,"Decent 3bedroom flat with all rooms ensuite + guest convenience, parking space",1200000.0,,2CNWJ,"Updated 15 Jan 2020, Added 01 Sep 2019",,"Security doors
Drainage System
All Room Ensuit
Big Compound
3 Bedrooms
Renovated","Decent 3bedroom flat with all rooms ensuite + guest convenience, parking space, gated compound, upstairs, kitchen cabinet, #1.2m per annum

Legal fee 10%
Agency 20%
Caution fee refundable 100k"
9378,yaba,Ebute Metta Yaba Lagos,3 beds baths Toilets,3,0,0,"Brand Newly Built Ensuites Modern 3bedroom Flat @ Ebute Metta East, Lagos, in a block of flats, upstairs",1000000.0,,7CVTS,"Updated 15 Jan 2020, Added 13 Dec 2019",Newly Built,"Parking Space
All Room Ensuit
3 Bedrooms
New","A Brand Newly Built Ensuites Modern 3bedroom Flat @ Ebute Metta East, Lagos, in a block of flats, upstairs, front flat, with nice finishing touches, fenced round with gate and parking space, very close to 3rd mainland bridge, #1M x a year."
